Latitude,Longitude,Sample Date,pr
-28.760833,17.730278,02-01-2011,0.0004444122314453125
-26.861111,28.884722,03-01-2011,0.0054168701171875
-26.45,28.085833,03-01-2011,0.006031036376953125
-27.671111,27.236944,03-01-2011,0.005161285400390625
-27.356667,27.286389,03-01-2011,0.0048160552978515625
-27.01011111,26.69808333,04-01-2011,0.0040435791015625
-25.127778,27.628889,04-01-2011,0.00443267822265625
-25.20639,27.558,04-01-2011,0.0051403045654296875
-24.69514,27.40906,04-01-2011,0.0067577362060546875
-26.98472222,26.63227778,04-01-2011,0.0040435791015625
-28.141944,26.417778,04-01-2011,0.005619049072265625
-27.398611,26.614722,04-01-2011,0.00458526611328125
-33.501667,21.624167,04-01-2011,0.001163482666015625
-32.502778,19.535833,04-01-2011,0.0003185272216796875
-25.45963889,28.26430556,04-01-2011,0.003887176513671875
-27.495556,26.074722,04-01-2011,0.004833221435546875
-26.648056,27.089444,05-01-2011,0.0052814483642578125
-26.970278,27.211111,05-01-2011,0.005279541015625
-27.38972222,26.46388889,05-01-2011,0.00458526611328125
-27.044444,27.005,05-01-2011,0.004489898681640625
-30.830556,26.921389,06-01-2011,0.009923934936523438
-27.00222,28.76528,06-01-2011,0.00560760498046875
-27.02314,28.59389,06-01-2011,0.0054721832275390625
-30.679722,26.7125,06-01-2011,0.00948333740234375
-30.160091,27.40124,06-01-2011,0.006023406982421875
-32.595833,19.009444,06-01-2011,0.0002613067626953125
-25.99136,27.84208,10-01-2011,0.0058155059814453125
-26.73806,27.59194,10-01-2011,0.0065460205078125
-26.45,28.085833,10-01-2011,0.006031036376953125
-30.86013889,29.07125,10-01-2011,0.0067806243896484375
-27.356667,27.286389,10-01-2011,0.0048160552978515625
-27.01011111,26.69808333,11-01-2011,0.0040435791015625
-25.73411,27.21422,11-01-2011,0.0048389434814453125
-26.98472222,26.63227778,11-01-2011,0.0040435791015625
-27.398611,26.614722,11-01-2011,0.00458526611328125
-27.671111,27.236944,11-01-2011,0.005161285400390625
-29.160278,26.573333,11-01-2011,0.006572723388671875
-34.250556,20.9925,11-01-2011,0.0009670257568359375
-25.45963889,28.26430556,11-01-2011,0.003887176513671875
-25.81048333,27.90955222,12-01-2011,0.00458526611328125
-27.273889,28.49,12-01-2011,0.005573272705078125
-27.4275,28.525833,12-01-2011,0.0057220458984375
-28.883333,27.89,12-01-2011,0.00858306884765625
-27.00222,28.76528,13-01-2011,0.00560760498046875
-27.02314,28.59389,13-01-2011,0.0054721832275390625
-30.534167,24.961944,13-01-2011,0.005512237548828125
-28.460833,21.248889,13-01-2011,0.0038166046142578125
-29.658056,25.973333,14-01-2011,0.006473541259765625
-28.760833,17.730278,16-01-2011,0.0004444122314453125
-25.513889,31.224444,17-01-2011,0.006626129150390625
-26.861111,28.884722,17-01-2011,0.0054168701171875
-31.554722,29.245556,17-01-2011,0.0059719085693359375
-28.058889,30.373611,17-01-2011,0.0052204132080078125
-25.127778,27.628889,18-01-2011,0.00443267822265625
-25.20639,27.558,18-01-2011,0.0051403045654296875
-24.69514,27.40906,18-01-2011,0.0067577362060546875
-25.681111,31.783333,18-01-2011,0.00615692138671875
-27.802778,28.768333,18-01-2011,0.005401611328125
-27.398611,26.614722,18-01-2011,0.00458526611328125
-31.104278,29.399722,18-01-2011,0.0052051544189453125
-31.396,29.2651,18-01-2011,0.0059719085693359375
-33.38056,19.30167,18-01-2011,0.0003261566162109375
-33.31388889,19.07472222,18-01-2011,0.0003681182861328125
-27.495556,26.074722,18-01-2011,0.004833221435546875
-24.39619444,27.08983333,19-01-2011,0.0064563751220703125
-26.970278,27.211111,19-01-2011,0.005279541015625
-26.880278,26.965,19-01-2011,0.004489898681640625
-27.273889,28.49,19-01-2011,0.005573272705078125
-27.3,28.586944,19-01-2011,0.005573272705078125
-27.044444,27.005,19-01-2011,0.004489898681640625
-30.568333,29.422778,19-01-2011,0.0061626434326171875
-30.570833,29.150556,19-01-2011,0.0053081512451171875
-34.031944,22.053333,19-01-2011,0.0007724761962890625
-33.13083,18.86278,19-01-2011,0.000225067138671875
-33.7075,18.97444444,19-01-2011,0.0002689361572265625
-25.57877778,29.12747222,19-01-2011,0.0053958892822265625
-26.006389,29.253889,20-01-2011,0.0064563751220703125
-27.02314,28.59389,20-01-2011,0.0054721832275390625
-30.679722,26.7125,20-01-2011,0.00948333740234375
-28.460833,21.248889,20-01-2011,0.0038166046142578125
-30.77586667,29.03221667,20-01-2011,0.0067806243896484375
-24.925278,29.324444,21-01-2011,0.0047092437744140625
-28.460833,21.248889,21-01-2011,0.0038166046142578125
-24.679167,30.8025,24-01-2011,0.0070743560791015625
-25.99136,27.84208,24-01-2011,0.0058155059814453125
-25.49037,30.6986,24-01-2011,0.008142471313476562
-26.970278,27.211111,24-01-2011,0.005279541015625
