Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,gems_Alk_Tot,gems_Ca_Dis,gems_Cl_Dis,gems_DRP,gems_EC,gems_H_T,gems_Mg_Dis,gems_NH4N,gems_NOxN,gems_Na_Dis,gems_SO4_Dis,gems_Sal,gems_Si_Dis,gems_TP,gems_pH,gems_DRP_log,gems_TP_log,gems_partial_P,gems_distance_km,gems_within_limit,precip_anom,precip_anom_lag1,precip_anom_lag2,precip_anom_lag3,pet,wetness_index,storm_pet_ratio,dry_spike_index,anom_pos,anom_neg,cumulative_anom_3m,cumulative_wetness_3m
-34.405833,19.600556,06-07-2011,35.054,1224.0,10.0,53.333,13.0215,282.775,0.0175,1215.0,127.095,22.813,0.0835,0.193,182.823,41.817,0.579745,2.973,,7.6835,0.017348638334613,0.0,0.0,0.0,True,-0.001110076904296875,,,,158.7,-6.994813467561825e-06,,-6.994813467561825e-06,0.0,0.001110076904296875,-0.001110076904296875,-6.994813467561825e-06
-34.405833,19.600556,02-08-2011,36.247,1237.0,10.0,53.333,13.0215,282.775,0.0175,1215.0,127.095,22.813,0.0835,0.193,182.823,41.817,0.579745,2.973,,7.6835,0.017348638334613,0.0,0.0,0.0,True,-0.0006961822509765625,-0.001110076904296875,,,174.1,-3.998749264662914e-06,2.377338603922883e-06,-3.998749264662914e-06,0.0,0.0006961822509765625,-0.0009031295776367188,-5.496781366112369e-06
-34.405833,19.600556,30-08-2011,37.607,1034.0,10.0,53.333,13.0215,282.775,0.0175,1215.0,127.095,22.813,0.0835,0.193,182.823,41.817,0.579745,2.973,,7.6835,0.017348638334613,0.0,0.0,0.0,True,-0.0006961822509765625,-0.0006961822509765625,-0.001110076904296875,,174.1,-3.998749264662914e-06,0.0,-3.998749264662914e-06,0.0,0.0006961822509765625,-0.0008341471354166666,-4.997437332295885e-06
-34.405833,19.600556,27-09-2011,27.082,929.0,108.0,53.333,13.0215,282.775,0.0175,1215.0,127.095,22.813,0.0835,0.193,182.823,41.817,0.579745,2.973,,7.6835,0.017348638334613,0.0,0.0,0.0,True,-0.0006275177001953125,-0.0006961822509765625,-0.0006961822509765625,-0.001110076904296875,174.1,-3.6043520769153385e-06,3.94397187747575e-07,-3.6043520769153385e-06,0.0,0.0006275177001953125,-0.0006732940673828125,-3.867283535413722e-06
-34.405833,19.600556,27-10-2011,40.357,1245.0,10.0,53.333,13.0215,282.775,0.0175,1215.0,127.095,22.813,0.0835,0.193,182.823,41.817,0.579745,2.973,,7.6835,0.017348638334613,0.0,0.0,0.0,True,-0.0001201629638671875,-0.0006275177001953125,-0.0006961822509765625,-0.0006961822509765625,174.1,-6.901950785582563e-07,2.9141569983570825e-06,-6.901950785582563e-07,0.0,0.0001201629638671875,-0.0004812876383463542,-2.764432140045503e-06
-34.405833,19.600556,20-06-2012,23.223,1005.0,10.0,53.333,13.0215,282.775,0.0175,1215.0,127.095,22.813,0.0835,0.193,182.823,41.817,0.579745,2.973,,7.6835,0.017348638334613,0.0,0.0,0.0,True,0.0009002685546875,-0.0001201629638671875,-0.0006275177001953125,-0.0006961822509765625,161.7,5.567523494866893e-06,6.3106463342241265e-06,5.567523494866893e-06,0.0009002685546875,0.0,5.0862630208333336e-05,4.2432544646443265e-07
-34.405833,19.600556,18-07-2012,13.332,764.0,10.0,53.333,13.0215,282.775,0.0175,1215.0,127.095,22.813,0.0835,0.193,182.823,41.817,0.579745,2.973,,7.6835,0.017348638334613,0.0,0.0,0.0,True,0.000202178955078125,0.0009002685546875,-0.0001201629638671875,-0.0006275177001953125,168.7,1.1984526015392556e-06,-4.13805332229592e-06,1.1984526015392556e-06,0.000202178955078125,0.0,0.0003274281819661458,2.025260339282631e-06
-34.405833,19.600556,15-08-2012,53.807,1055.0,33.0,53.333,13.0215,282.775,0.0175,1215.0,127.095,22.813,0.0835,0.193,182.823,41.817,0.579745,2.973,,7.6835,0.017348638334613,0.0,0.0,0.0,True,0.0009975433349609375,0.000202178955078125,0.0009002685546875,-0.0001201629638671875,168.7,5.913119911368214e-06,4.714667309828958e-06,5.913119911368214e-06,0.0009975433349609375,0.0,0.0006999969482421875,4.226365335924787e-06
-34.405833,19.600556,12-09-2012,44.26,1264.0,10.0,53.333,13.0215,282.775,0.0175,1215.0,127.095,22.813,0.0835,0.193,182.823,41.817,0.579745,2.973,,7.6835,0.017348638334613,0.0,0.0,0.0,True,0.0001163482666015625,0.0009975433349609375,0.000202178955078125,0.0009002685546875,168.7,6.896755537159867e-07,-5.223444357652227e-06,6.896755537159867e-07,0.0001163482666015625,0.0,0.000438690185546875,2.6004160222078187e-06
-34.405833,19.600556,10-10-2012,29.324,964.0,39.0,53.333,13.0215,282.775,0.0175,1215.0,127.095,22.813,0.0835,0.193,182.823,41.817,0.579745,2.973,,7.6835,0.017348638334613,0.0,0.0,0.0,True,0.0015659332275390625,0.0001163482666015625,0.0009975433349609375,0.000202178955078125,168.7,9.282354583620084e-06,8.592679029904096e-06,9.282354583620084e-06,0.0015659332275390625,0.0,0.0008932749430338541,5.295050016234761e-06
